id_estudiante,semestre,edad,sexo,departamento_origen,zona_origen,estrato,tipo_colegio,percentil_saber11,programa,trabaja,horas_trabajo_semana,personas_a_cargo,ingreso_hogar_smlmv,apoyo_financiero,fuente_financiacion,tiempo_desplazamiento_min,creditos_matriculados,promedio_academico,asistencia_pct,actividad_lms_pct,materias_perdidas,materias_canceladas,mora_financiera,acompanamiento_bienestar,creditos_prev_matriculados,creditos_prev_aprobados,pct_creditos_prev_aprobados,probabilidad_latente_desercion,deserta_siguiente_periodo
EST-00001,2,23,Mujer,Atlántico,Urbana,2,Oficial,43,Ingeniería de Sistemas,No,0,0,1.38,No,Recursos familiares,71,17,2.71,79,78,1,0,No,Sí,18,15,83.3,0.2537,No
EST-00002,1,20,Hombre,Otro,Rural,3,Oficial,61,Ingeniería de Sistemas,Sí,12,2,1.77,No,Crédito educativo,60,17,3.57,99.3,83,0,0,No,No,,,,0.1039,Sí
EST-00003,1,20,Mujer,Cauca,Urbana,3,Oficial,70,Ingeniería de Sistemas,No,0,0,1.54,Sí,Mixto,30,16,3.83,100,58,1,0,No,No,,,,0.0546,No
EST-00004,1,17,Hombre,Atlántico,Urbana,3,Oficial,72,Psicología,No,0,0,2.53,No,Beca / subsidio,66,20,3.95,84.2,76,0,0,No,No,,,,0.1038,No
EST-00005,1,19,Hombre,Bogotá D.C.,Urbana,1,Oficial,80,Ingeniería Industrial,No,0,0,1.66,Sí,Mixto,29,16,2.88,89.2,53,0,0,No,No,,,,0.0756,No
EST-00006,1,17,Mujer,Atlántico,Urbana,1,Oficial,56,Administración,No,0,0,0.94,Sí,Beca / subsidio,50,16,3.52,90.4,66,0,0,Sí,No,,,,0.0995,No
EST-00007,2,17,Mujer,Bolívar,Urbana,2,Oficial,39,Contaduría,No,0,0,2.37,No,Recursos familiares,32,20,2.96,87.9,64,0,0,Sí,Sí,18,18,100,0.1881,Sí
EST-00008,2,18,Hombre,Magdalena,Rural,1,Oficial,21,Enfermería,No,0,0,0.97,Sí,Recursos familiares,12,18,2.93,82.5,88,2,0,No,Sí,14,9,64.3,0.2085,Sí
EST-00009,1,19,Mujer,Antioquia,Urbana,2,Oficial,33,Ingeniería de Sistemas,Sí,15,0,1.22,Sí,Mixto,37,18,3.99,94,82,0,0,No,Sí,,,,0.0482,No
EST-00010,2,21,Mujer,Bogotá D.C.,Urbana,3,Privado,66,Enfermería,No,0,0,1.47,No,Crédito educativo,77,16,2.97,89.1,78,0,0,No,Sí,18,18,100,0.1083,Sí
EST-00011,1,24,Mujer,Norte de Santander,Urbana,3,Privado,55,Administración,Sí,16,0,2.01,Sí,Crédito educativo,57,15,3.69,100,65,1,0,No,No,,,,0.0707,No
EST-00012,1,19,Mujer,Córdoba,Urbana,2,Oficial,3,Derecho,No,0,0,1.21,No,Crédito educativo,59,15,3.39,82.5,57,0,0,No,No,,,,0.1529,No
EST-00013,1,22,Hombre,Risaralda,Urbana,1,Oficial,64,Administración,Sí,18,1,0.57,Sí,Beca / subsidio,28,19,2.73,92.6,62,0,0,No,No,,,,0.1474,No
EST-00014,2,21,Hombre,Nariño,Urbana,2,Oficial,62,Diseño,Sí,17,0,3.47,No,Recursos familiares,62,18,3.78,89.1,75,0,0,No,No,20,20,100,0.0911,No
EST-00015,1,19,Hombre,Valle del Cauca,Urbana,2,Oficial,64,Negocios Internacionales,No,0,0,3.77,No,Crédito educativo,5,18,3.53,96,74,0,0,No,No,,,,0.1125,No
EST-00016,2,20,Mujer,Atlántico,Rural,1,Oficial,21,Ingeniería de Sistemas,No,0,0,1.17,Sí,Mixto,50,16,3.46,96.5,60,0,0,No,No,14,13,92.9,0.0259,No
EST-00017,1,25,Mujer,Huila,Rural,3,Oficial,73,Ingeniería de Sistemas,Sí,30,0,3.78,Sí,Mixto,48,16,3.46,85.4,72,0,0,No,No,,,,0.094,No
EST-00018,1,20,Hombre,Meta,Urbana,1,Oficial,73,Diseño,No,0,0,1.32,No,Crédito educativo,50,19,3.64,87.7,65,0,0,No,No,,,,0.1306,No
EST-00019,2,18,Hombre,Caldas,Urbana,3,Oficial,41,Derecho,No,0,0,1.01,No,Beca / subsidio,5,19,3.03,96.3,76,3,0,No,Sí,18,11,61.1,0.2661,No
EST-00020,2,18,Mujer,Risaralda,Rural,1,Oficial,37,Diseño,Sí,11,0,0.92,Sí,Beca / subsidio,36,17,3.76,90.1,85,0,0,No,No,18,18,100,0.0459,No
EST-00021,2,18,Hombre,Otro,Urbana,2,Oficial,12,Contaduría,No,0,0,2.52,Sí,Beca / subsidio,30,19,3.31,95.3,67,0,0,No,No,16,16,100,0.0324,No
EST-00022,2,19,Mujer,Atlántico,Rural,3,Oficial,37,Negocios Internacionales,No,0,0,4.1,No,Recursos familiares,94,18,3.06,91,70,0,0,No,No,18,18,100,0.1201,No
EST-00023,1,19,Hombre,Meta,Urbana,2,Oficial,62,Derecho,No,0,0,1.5,Sí,Beca / subsidio,19,17,4,91.5,64,0,0,No,No,,,,0.04,No
EST-00024,1,20,Hombre,Bogotá D.C.,Urbana,1,Oficial,14,Psicología,No,0,0,0.98,No,Recursos familiares,53,14,2.44,78.7,50,2,0,No,No,,,,0.3624,No
EST-00025,2,19,Mujer,Nariño,Urbana,2,Privado,24,Diseño,Sí,31,0,1.29,No,Crédito educativo,45,16,2.34,91.2,59,3,1,Sí,Sí,14,7,50,0.7987,Sí
EST-00026,1,19,Hombre,Cundinamarca,Urbana,4,Privado,83,Negocios Internacionales,Sí,14,0,5.82,Sí,Crédito educativo,71,18,2.74,90.6,60,1,0,No,No,,,,0.1924,No
EST-00027,1,20,Mujer,Antioquia,Urbana,2,Privado,76,Administración,No,0,0,1.8,No,Crédito educativo,61,19,4.81,90.1,80,0,1,No,No,,,,0.1028,No
EST-00028,1,20,Mujer,Antioquia,Urbana,3,Oficial,40,Diseño,No,0,0,2.3,No,Crédito educativo,56,18,3.56,74.7,94,0,0,No,No,,,,0.1433,No
EST-00029,1,19,Mujer,Antioquia,Rural,1,Oficial,70,Contaduría,No,0,0,0.61,Sí,Recursos familiares,98,19,3.81,86.6,63,0,1,No,No,,,,0.104,No
